date,hour,france,italy,belgium,spain,uk,germany
2022/01/01,00:00 - 01:00,89.06,170.28,82.02,145.86,0.27,50.05
2022/01/01,01:00 - 02:00,78.48,155.72,67.07,114.90,-0.01,41.33
2022/01/01,02:00 - 03:00,85.16,147.09,75.11,113.87,0.27,43.22
2022/01/01,03:00 - 04:00,50.00,91.00,50.91,97.80,-0.01,45.46
2022/01/01,04:00 - 05:00,37.67,104.00,37.67,97.80,-0.01,37.67
2022/01/01,05:00 - 06:00,39.70,140.60,39.70,95.74,-5.27,39.70
2022/01/01,06:00 - 07:00,40.59,147.09,40.59,97.80,-14.40,40.59
2022/01/01,07:00 - 08:00,43.26,99.99,43.26,97.80,-23.72,43.26
2022/01/01,08:00 - 09:00,49.66,67.99,49.66,97.80,-16.50,49.66
2022/01/01,09:00 - 10:00,70.05,95.00,70.05,70.05,0.00,70.05
2022/01/01,10:00 - 11:00,76.79,135.80,76.79,76.79,0.01,76.79
2022/01/01,11:00 - 12:00,84.10,150.70,84.10,84.10,54.10,84.10
2022/01/01,12:00 - 13:00,94.74,155.72,94.74,94.74,80.70,94.74
2022/01/01,13:00 - 14:00,96.80,147.09,96.80,96.80,112.47,96.80
2022/01/01,14:00 - 15:00,97.17,100.00,97.17,97.80,121.00,97.17
2022/01/01,15:00 - 16:00,98.52,155.00,95.21,98.52,123.88,101.00
2022/01/01,16:00 - 17:00,114.50,169.78,111.66,114.50,120.00,126.60
2022/01/01,17:00 - 18:00,149.97,203.10,149.97,149.97,141.83,149.97
2022/01/01,18:00 - 19:00,146.33,205.83,146.33,177.22,237.51,146.33
2022/01/01,19:00 - 20:00,140.28,214.66,140.28,187.52,188.60,140.28
2022/01/01,20:00 - 21:00,121.88,214.66,121.88,189.26,162.00,121.88
2022/01/01,21:00 - 22:00,102.61,203.00,102.61,190.81,147.30,102.61
2022/01/01,22:00 - 23:00,97.46,180.00,97.46,188.39,123.20,97.46
2022/01/01,23:00 - 00:00,85.16,162.44,85.16,167.26,99.00,85.16
2022/01/02,00:00 - 01:00,57.08,148.08,57.08,133.21,78.91,57.08
2022/01/02,01:00 - 02:00,52.59,142.85,52.59,115.87,60.00,52.59
2022/01/02,02:00 - 03:00,48.97,140.60,48.97,110.52,43.73,48.97
2022/01/02,03:00 - 04:00,34.94,100.00,34.94,113.00,14.00,34.94
2022/01/02,04:00 - 05:00,29.56,140.60,29.56,115.87,0.00,29.56
2022/01/02,05:00 - 06:00,33.97,141.93,33.97,110.52,-1.31,33.97
2022/01/02,06:00 - 07:00,34.52,147.09,34.52,115.87,-5.00,34.52
2022/01/02,07:00 - 08:00,41.80,152.61,41.80,129.60,-19.60,41.80
2022/01/02,08:00 - 09:00,48.95,152.59,48.95,115.87,0.00,48.95
2022/01/02,09:00 - 10:00,60.01,155.72,60.01,115.87,0.00,60.01
2022/01/02,10:00 - 11:00,70.09,167.98,70.09,113.00,46.10,70.09
2022/01/02,11:00 - 12:00,66.26,175.08,66.26,103.70,92.50,66.26
2022/01/02,12:00 - 13:00,64.54,189.58,64.54,103.70,80.78,64.54
2022/01/02,13:00 - 14:00,46.96,169.69,46.96,110.52,89.16,46.96
2022/01/02,14:00 - 15:00,40.01,155.72,41.95,115.87,85.13,40.01
2022/01/02,15:00 - 16:00,39.30,167.75,48.31,109.50,96.00,29.11
2022/01/02,16:00 - 17:00,40.79,194.21,51.91,115.87,56.83,32.76
2022/01/02,17:00 - 18:00,47.91,245.00,56.04,159.79,120.00,42.97
2022/01/02,18:00 - 19:00,65.09,225.19,69.32,194.25,162.00,60.96
2022/01/02,19:00 - 20:00,67.85,216.29,69.50,198.00,133.02,60.94
2022/01/02,20:00 - 21:00,62.22,199.64,62.22,208.38,99.74,54.12
2022/01/02,21:00 - 22:00,46.16,178.41,46.16,209.10,79.00,46.16
2022/01/02,22:00 - 23:00,46.29,154.44,46.29,191.36,88.91,46.29
2022/01/02,23:00 - 00:00,32.93,144.79,32.93,178.00,0.00,32.93
2022/01/03,00:00 - 01:00,2.71,127.00,-0.70,181.50,-10.10,0.31
2022/01/03,01:00 - 02:00,1.71,127.00,-1.34,160.72,-10.00,-0.01
2022/01/03,02:00 - 03:00,1.24,84.62,-0.99,154.64,-10.00,-0.07
2022/01/03,03:00 - 04:00,0.06,83.27,-1.83,149.86,-18.88,-1.05
2022/01/03,04:00 - 05:00,0.09,85.00,-1.72,144.49,-25.78,-1.00
2022/01/03,05:00 - 06:00,1.44,84.50,0.00,148.86,-19.70,0.32
2022/01/03,06:00 - 07:00,41.11,164.46,35.22,153.77,0.00,37.55
2022/01/03,07:00 - 08:00,90.54,202.03,88.50,160.72,4.00,88.76
2022/01/03,08:00 - 09:00,161.79,212.00,96.00,189.26,23.60,122.93
2022/01/03,09:00 - 10:00,180.36,232.00,70.50,183.54,58.26,110.17
2022/01/03,10:00 - 11:00,125.03,239.51,90.57,160.72,82.17,93.38
2022/01/03,11:00 - 12:00,100.74,212.22,101.33,152.20,102.20,90.73
2022/01/03,12:00 - 13:00,96.39,202.03,97.30,148.86,112.12,82.37
2022/01/03,13:00 - 14:00,95.22,199.89,96.20,142.04,125.00,80.90
2022/01/03,14:00 - 15:00,102.67,207.16,100.73,127.38,134.00,80.99
